Failed URL: http://web.archive.org/web/20240128080717/https://www.aarcorp.com/, Reason: HTTPConnectionPool(host='web.archive.org', port=80): Max retries exceeded with url: /web/20240128080717/https://www.aarcorp.com/ (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001B3EA4FB8A0>, 'Connection to web.archive.org timed out. (connect timeout=60)'))
Failed URL: http://web.archive.org/web/20240128081026/http://www.aarcorp.com/, Reason: HTTPConnectionPool(host='web.archive.org', port=80): Max retries exceeded with url: /web/20240128081026/http://www.aarcorp.com/ (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001B3EA4FBAC0>, 'Connection to web.archive.org timed out. (connect timeout=60)'))
Failed URL: http://web.archive.org/web/20240128081027/https://www.aarcorp.com/, Reason: HTTPConnectionPool(host='web.archive.org', port=80): Max retries exceeded with url: /web/20240128081027/https://www.aarcorp.com/ (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001B3EA5D9150>, 'Connection to web.archive.org timed out. (connect timeout=60)'))
Failed URL: http://web.archive.org/web/20240128081213/https://www.aarcorp.com/, Reason: HTTPConnectionPool(host='web.archive.org', port=80): Max retries exceeded with url: /web/20240128081213/https://www.aarcorp.com/ (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001B3EA5D9370>, 'Connection to web.archive.org timed out. (connect timeout=60)'))
Failed URL: http://web.archive.org/web/20240205131057/http://www.aarcorp.com/, Reason: HTTPConnectionPool(host='web.archive.org', port=80): Max retries exceeded with url: /web/20240205131057/http://www.aarcorp.com/ (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001B3EA4FBAC0>, 'Connection to web.archive.org timed out. (connect timeout=60)'))
Failed URL: http://web.archive.org/web/20240205131057/https://www.aarcorp.com/, Reason: HTTPConnectionPool(host='web.archive.org', port=80): Max retries exceeded with url: /web/20240205131057/https://www.aarcorp.com/ (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001B3EA4FBBD0>, 'Connection to web.archive.org timed out. (connect timeout=60)'))
Failed URL: http://web.archive.org/web/20240215021243/http://aarcorp.com/, Reason: HTTPConnectionPool(host='web.archive.org', port=80): Max retries exceeded with url: /web/20240215021243/http://aarcorp.com/ (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001B3EA5D9040>, 'Connection to web.archive.org timed out. (connect timeout=60)'))
Failed URL: http://web.archive.org/web/20240217152556/https://www.aarcorp.com/, Reason: HTTPConnectionPool(host='web.archive.org', port=80): Max retries exceeded with url: /web/20240217152556/https://www.aarcorp.com/ (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001B3EA5D8AF0>, 'Connection to web.archive.org timed out. (connect timeout=60)'))
Failed URL: http://web.archive.org/web/20240227210930/https://www.aarcorp.com, Reason: HTTPConnectionPool(host='web.archive.org', port=80): Max retries exceeded with url: /web/20240227210930/https://www.aarcorp.com (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001B3EA5D9480>, 'Connection to web.archive.org timed out. (connect timeout=60)'))
Failed URL: http://web.archive.org/web/20240327080257/https://www.aarcorp.com/, Reason: ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
Failed URL: http://web.archive.org/web/20240327080337/http://www.aarcorp.com/, Reason: HTTPConnectionPool(host='web.archive.org', port=80): Max retries exceeded with url: /web/20240327080337/http://www.aarcorp.com/ (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001B3EA5D9AE0>, 'Connection to web.archive.org timed out. (connect timeout=60)'))
Failed URL: http://web.archive.org/web/20240327080343/http://www.aarcorp.com/, Reason: HTTPConnectionPool(host='web.archive.org', port=80): Max retries exceeded with url: /web/20240327080343/http://www.aarcorp.com/ (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001B3EA4FBF00>, 'Connection to web.archive.org timed out. (connect timeout=60)'))
Failed URL: http://web.archive.org/web/20240327080343/https://www.aarcorp.com/, Reason: HTTPConnectionPool(host='web.archive.org', port=80): Max retries exceeded with url: /web/20240327080343/https://www.aarcorp.com/ (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001B3EA5D9D00>, 'Connection to web.archive.org timed out. (connect timeout=60)'))
Failed URL: http://web.archive.org/web/20240327080353/http://www.aarcorp.com/, Reason: HTTPConnectionPool(host='web.archive.org', port=80): Max retries exceeded with url: /web/20240327080353/http://www.aarcorp.com/ (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001B3EA5D9F20>, 'Connection to web.archive.org timed out. (connect timeout=60)'))
Failed URL: http://web.archive.org/web/20240327080353/https://www.aarcorp.com/, Reason: HTTPConnectionPool(host='web.archive.org', port=80): Max retries exceeded with url: /web/20240327080353/https://www.aarcorp.com/ (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001B3EA5DA140>, 'Connection to web.archive.org timed out. (connect timeout=60)'))
Failed URL: http://web.archive.org/web/20240402132537/https://www.aarcorp.com/, Reason: HTTPConnectionPool(host='web.archive.org', port=80): Max retries exceeded with url: /web/20240402132537/https://www.aarcorp.com/ (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001B3EA5DA360>, 'Connection to web.archive.org timed out. (connect timeout=60)'))
Failed URL: http://web.archive.org/web/20240417095707/https://www.aarcorp.com/, Reason: HTTPConnectionPool(host='web.archive.org', port=80): Max retries exceeded with url: /web/20240417095707/https://www.aarcorp.com/ (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001B3EA5DA580>, 'Connection to web.archive.org timed out. (connect timeout=60)'))
Failed URL: http://web.archive.org/web/20240419123845/https://www.aarcorp.com/, Reason: HTTPConnectionPool(host='web.archive.org', port=80): Max retries exceeded with url: /web/20240419123845/https://www.aarcorp.com/ (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001B3EA5DA7A0>, 'Connection to web.archive.org timed out. (connect timeout=60)'))
Failed URL: http://web.archive.org/web/20240420045113/http://www.aarcorp.com/, Reason: HTTPConnectionPool(host='web.archive.org', port=80): Max retries exceeded with url: /web/20240420045113/http://www.aarcorp.com/ (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001B3EA5DA9C0>, 'Connection to web.archive.org timed out. (connect timeout=60)'))
Failed URL: http://web.archive.org/web/20240520062330/https://www.aarcorp.com/, Reason: HTTPConnectionPool(host='web.archive.org', port=80): Max retries exceeded with url: /web/20240520062330/https://www.aarcorp.com/ (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001B3EA4FBF00>, 'Connection to web.archive.org timed out. (connect timeout=60)'))
Failed URL: http://web.archive.org/web/20240520090012/http://www.aarcorp.com/, Reason: HTTPConnectionPool(host='web.archive.org', port=80): Max retries exceeded with url: /web/20240520090012/http://www.aarcorp.com/ (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001B3EA4FB8A0>, 'Connection to web.archive.org timed out. (connect timeout=60)'))
Failed URL: http://web.archive.org/web/20240520090013/https://www.aarcorp.com/, Reason: HTTPConnectionPool(host='web.archive.org', port=80): Max retries exceeded with url: /web/20240520090013/https://www.aarcorp.com/ (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001B3EA5D99D0>, 'Connection to web.archive.org timed out. (connect timeout=60)'))
Failed URL: http://web.archive.org/web/20240528024945/http://www.aarcorp.com/, Reason: HTTPConnectionPool(host='web.archive.org', port=80): Max retries exceeded with url: /web/20240528024945/http://www.aarcorp.com/ (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001B3EA4FBBD0>, 'Connection to web.archive.org timed out. (connect timeout=60)'))
Failed URL: http://web.archive.org/web/20240528024945/https://www.aarcorp.com/, Reason: HTTPConnectionPool(host='web.archive.org', port=80): Max retries exceeded with url: /web/20240528024945/https://www.aarcorp.com/ (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001B3EA5DA7A0>, 'Connection to web.archive.org timed out. (connect timeout=60)'))
Failed URL: http://web.archive.org/web/20240528025025/https://www.aarcorp.com/, Reason: HTTPConnectionPool(host='web.archive.org', port=80): Max retries exceeded with url: /web/20240528025025/https://www.aarcorp.com/ (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001B3EA5DA9C0>, 'Connection to web.archive.org timed out. (connect timeout=60)'))
Failed URL: http://web.archive.org/web/20240530112344/https://www.aarcorp.com/, Reason: HTTPConnectionPool(host='web.archive.org', port=80): Max retries exceeded with url: /web/20240530112344/https://www.aarcorp.com/ (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001B3EA5DA360>, 'Connection to web.archive.org timed out. (connect timeout=60)'))
Failed URL: http://web.archive.org/web/20240619221811/https://www.aarcorp.com/, Reason: HTTPConnectionPool(host='web.archive.org', port=80): Max retries exceeded with url: /web/20240619221811/https://www.aarcorp.com/ (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001B3EA5DA140>, 'Connection to web.archive.org timed out. (connect timeout=60)'))
Failed URL: http://web.archive.org/web/20240621020152/https://www.aarcorp.com/, Reason: HTTPConnectionPool(host='web.archive.org', port=80): Max retries exceeded with url: /web/20240621020152/https://www.aarcorp.com/ (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001B3EA5D9F20>, 'Connection to web.archive.org timed out. (connect timeout=60)'))
Failed URL: http://web.archive.org/web/20240621113727/https://www.aarcorp.com/, Reason: HTTPConnectionPool(host='web.archive.org', port=80): Max retries exceeded with url: /web/20240621113727/https://www.aarcorp.com/ (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001B3EA5D9D00>, 'Connection to web.archive.org timed out. (connect timeout=60)'))
Failed URL: http://web.archive.org/web/20240623195645/http://www.aarcorp.com/, Reason: HTTPConnectionPool(host='web.archive.org', port=80): Max retries exceeded with url: /web/20240623195645/http://www.aarcorp.com/ (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001B3EA5D9BF0>, 'Connection to web.archive.org timed out. (connect timeout=60)'))
Failed URL: http://web.archive.org/web/20240624071956/https://www.aarcorp.com/, Reason: HTTPConnectionPool(host='web.archive.org', port=80): Max retries exceeded with url: /web/20240624071956/https://www.aarcorp.com/ (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001B3EA5D98C0>, 'Connection to web.archive.org timed out. (connect timeout=60)'))
